,name,categories,lat,lng
0,Q-Park De Bijenkorf,Parking,52.37413161763709,4.8945793955019345
1,MobyPark - Parking Dam Square - Book now and pay only € 3/h!,Parking,52.373077444399854,4.895562529563904
2,Q-Park De Kolk,Parking,52.37626672185223,4.894437068895485
3,Parkeergarage Oosterdok,Parking,52.37614737322475,4.909099528406037
4,ParkBee Grand Hotel Krasnapolsky,Parking,52.37300477,4.89560087
5,ParkBee NH Collection,Parking,52.376515,4.900197
6,Oosterdok Parking,Parking,52.37656933569557,4.9052469479600305
7,P1 Parking Amsterdam Centrum,Parking,52.37877902329827,4.896704459415858
8,Parkeergarage Geelvinck,Parking,52.366379417488396,4.891984462738037
9,ParkBee,Parking,52.37102516,4.89520618
10,ParkBee Grand Hotel Amrâth Amsterdam,Parking,52.374249,4.904512
11,Q-Park Amsterdam Centraal,Parking,52.378746,4.896904
12,ijdok,Parking,52.3845,4.894828
13,Fietsflat,Parking,52.37922104923885,4.897032380104065
14,Fietspont,Parking,52.379884,4.901562
15,Parking wijdesteeg,Parking,52.37158801409718,4.889752326297164
16,ParkBee Kalverstraat,Parking,52.3672502,4.8909363
17,Kiss+Ride,Parking,52.380742,4.898545
18,Fietsplatform,Parking,52.380918,4.898696
19,Parkeer Garage Waterloo,Parking,52.36928666195497,4.904278197005562
20,ParkKing Waterlooplein,Parking,52.36872357797005,4.903334162222304
21,ParkBee Havengebouw,Parking,52.381143,4.895902
22,De Overkant (van MdB),Parking,52.36831510631523,4.893235543379496
23,ParkBee Hotel NH City Centre Amsterdam,Parking,52.369834,4.888908
24,Parkeergarage Stadhuis-Muziektheater,Parking,52.367373673154844,4.900237724647141
25,Amstel,Parking,52.36699194429201,4.897134304046631
26,Q-park Kalverpassage,Parking,52.367157,4.891444
27,Parkking The Bank Rembrandtplein,Parking,52.36597598308033,4.896660597040328
28,Parkeergarage Markenhoven,Parking,52.37128803768359,4.911099204697603
29,Fietsenstallingen Singel,Parking,52.367136067011565,4.89054948091507
30,Parkeren Centrum / IJDock,Parking,52.3840279222148,4.896115064620971
31,Interparking,Parking,52.38485969,4.89473662
32,Piet Heingarage,Parking,52.37762386,4.91486801
33,ParkBee Keijzersgracht,Parking,52.3656351,4.88754734
34,ParkBee,Parking,52.36466368,4.88999168
35,Parkeerplaats Artis,Parking,52.3681518748641,4.912996351128289
36,ParkBee Molenpad,Parking,52.366917,4.883222
37,Willemspoort,Parking,52.38489743,4.88444376
38,Q-park Europarking,Parking,52.36984773836334,4.87711165052783
39,Parking De Hoofdstad,Parking,52.36428221385142,4.883124276541291
40,Fietsenstalling Lijnbaansgracht,Parking,52.36493141344514,4.8814982586373805
41,In de fontein!,Parking,52.360012400891705,4.899398367189806
42,Q-Park Byzantium,Parking,52.36215291495878,4.879796086373648
43,Garage Nieuw Amerika,Parking,52.37602483886877,4.925883719129666
44,ParkBee Nassaukade,Parking,52.3646095,4.8786858
45,ParkBee De Wittenkade,Parking,52.38472438,4.87893744
46,Q-Park Centrum Oost,Parking,52.359955547241306,4.909160407386553
47,ParkBee Van Beuningenstraat,Parking,52.38334279,4.87570469
48,Garage De Loodsen,Parking,52.37652668298653,4.924632397359297
49,ParkBee Amsterdam Marriott Hotel,Parking,52.362672,4.879419
50,ParkBee Van Limburg Stirumstraat,Parking,52.38402515,4.8758031
51,Q-Park Weesperplein,Parking,52.35872206590383,4.908000889224843
